Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
22-APR-2025,24185.4,24242.6,24072,24167.25,440940490,35479.29
23-APR-2025,24357.6,24359.3,24119.95,24328.95,415042544,34527.08
24-APR-2025,24277.9,24347.85,24216.15,24246.7,358768165,33057.29
25-APR-2025,24289,24365.45,23847.85,24039.35,387741866,33430.86
28-APR-2025,24070.25,24355.1,24054.05,24328.5,320467976,28278.82
29-APR-2025,24370.7,24457.65,24290.75,24335.95,357563224,30436.88
30-APR-2025,24342.05,24396.15,24198.75,24334.2,424452559,41073.48
02-MAY-2025,24311.9,24589.15,24238.5,24346.7,421112627,34043.27
05-MAY-2025,24419.5,24526.4,24400.65,24461.15,291471628,26918.36
06-MAY-2025,24500.75,24509.65,24331.8,24379.6,302354059,26481.15
07-MAY-2025,24233.3,24449.6,24220,24414.4,330137191,27648.34
08-MAY-2025,24431.5,24447.25,24150.2,24273.8,411362230,36893.06
09-MAY-2025,23935.75,24164.25,23935.75,24008,335550680,28942.61
