Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
22-APR-2025,15.515,16.0075,14.54,15.23,15.515,-0.29,-1.84
23-APR-2025,15.23,16.5175,12.8425,15.96,15.23,0.73,4.79
24-APR-2025,15.96,16.7625,15.5525,16.25,15.96,0.29,1.82
25-APR-2025,16.25,17.575,15.915,17.16,16.25,0.91,5.60
28-APR-2025,17.1575,18.0725,16.6225,16.94,17.1575,-0.22,-1.27
29-APR-2025,16.94,17.585,16.065,17.37,16.94,0.43,2.54
30-APR-2025,17.37,18.56,15.985,18.22,17.37,0.85,4.89
02-MAY-2025,18.2225,18.8625,17.35,18.26,18.2225,0.04,0.21
05-MAY-2025,18.2575,18.795,18.0675,18.34,18.2575,0.08,0.45
06-MAY-2025,18.3375,19.3025,17.9875,19,18.3375,0.66,3.61
07-MAY-2025,18.995,19.73,18.365,19.06,18.995,0.07,0.34
08-MAY-2025,19.06,21.8925,18.1525,21.01,19.06,1.95,10.23
09-MAY-2025,21.0075,22.7475,21.0025,21.63,21.0075,0.62,2.96
